threshold,coverage,accepted_accuracy,accepted_count,review_count,accepted_errors
0.0,1.0,0.9991,10000,0,9
0.355692,1.0,0.9991,10000,0,9
0.368517,0.9999,0.9991999199919992,9999,1,8
0.464588,0.9997,0.9993998199459838,9997,3,6
0.480235,0.9997,0.9993998199459838,9997,3,6
0.508735,0.9995,0.9994997498749375,9995,5,5
0.529711,0.9995,0.9994997498749375,9995,5,5
0.560144,0.9994,0.999499699819892,9994,6,5
0.599554,0.9993,0.9995997198038628,9993,7,4
0.637475,0.9992,0.999599679743795,9992,8,4
0.657848,0.999,0.9996996996996997,9990,10,3
0.658998,0.999,0.9996996996996997,9990,10,3
0.697563,0.9988,0.999699639567481,9988,12,3
0.719002,0.9987,0.99979973966156,9987,13,2
0.8433,0.9987,0.99979973966156,9987,13,2
0.846615,0.9985,0.999799699549324,9985,15,2
0.874894,0.9985,0.999799699549324,9985,15,2
0.909512,0.9984,0.9997996794871795,9984,16,2
0.915623,0.9983,0.9997996594210157,9983,17,2
0.916573,0.9982,0.9997996393508315,9982,18,2
0.91838,0.9981,0.9997996192766256,9981,19,2
0.921859,0.998,0.9997995991983968,9980,20,2
0.925267,0.9979,0.9997995791161439,9979,21,2
0.929747,0.9977,0.999799538939561,9977,23,2
0.930096,0.9977,0.999799538939561,9977,23,2
0.930417,0.9976,0.9998997594226142,9976,24,1
0.933704,0.9975,0.9998997493734336,9975,25,1
0.938257,0.9973,0.9998997292690264,9973,27,1
0.938527,0.9972,0.9998997192137986,9972,28,1
0.938673,0.9971,0.999899709156554,9971,29,1
0.946744,0.9971,0.999899709156554,9971,29,1
0.949579,0.997,0.9998996990972919,9970,30,1
0.952207,0.9969,0.9998996890360117,9969,31,1
0.961891,0.9968,0.9998996789727127,9968,32,1
0.977125,0.9967,0.9998996689073945,9967,33,1
0.978518,0.9965,0.9998996487706975,9965,35,1
0.981801,0.9964,0.9998996386993175,9964,36,1
0.982861,0.9963,0.9998996286259159,9963,37,1
0.983122,0.9963,0.9998996286259159,9963,37,1
0.983501,0.9962,0.9998996185504919,9962,38,1
