epoch,train_loss,val_loss,val_digit_acc,val_sequence_acc,lr,seconds
9,2.302530,2.302709,0.099050,0.000000,0.00025000,96.85
10,2.277045,2.220536,0.142633,0.000000,0.00012500,103.82
11,2.230627,2.204226,0.146300,0.000000,0.00012500,107.77
1,2.304215,2.302730,0.099250,0.000000,0.00100000,176.53
12,2.219808,2.187256,0.148950,0.000000,0.00012500,173.12
2,2.302613,2.302725,0.099783,0.000000,0.00100000,193.49
13,2.206877,2.166180,0.148933,0.000000,0.00006250,176.96
14,2.195191,2.155582,0.153717,0.000000,0.00006250,306.32
3,2.302616,2.302688,0.099050,0.000000,0.00100000,332.05
15,2.190448,2.145684,0.165883,0.000000,0.00006250,323.75
4,2.302619,2.302745,0.099683,0.000000,0.00050000,315.71
5,2.302571,2.302701,0.099050,0.000000,0.00050000,416.94
16,2.160630,2.093968,0.176900,0.000000,0.00003125,434.52
17,2.145710,2.084842,0.187967,0.000000,0.00003125,355.54
6,2.302569,2.302699,0.099583,0.000000,0.00050000,405.81
7,2.302568,2.302729,0.099050,0.000000,0.00025000,218.06
18,2.141992,2.082733,0.190250,0.000000,0.00003125,316.43
8,2.302545,2.302712,0.099150,0.000000,0.00025000,114.36
9,2.302544,2.302712,0.099583,0.000000,0.00025000,205.57
19,2.137566,2.081230,0.192233,0.000000,0.00001563,324.27
10,2.302543,2.302718,0.099583,0.000000,0.00012500,114.14
11,2.302530,2.302714,0.099583,0.000000,0.00012500,204.05
20,2.135753,2.074167,0.195150,0.000000,0.00001563,340.35
12,2.302529,2.302715,0.099583,0.000000,0.00012500,109.86
13,2.302529,2.302715,0.099583,0.000000,0.00006250,309.42
14,2.302522,2.302714,0.099583,0.000000,0.00006250,93.87
15,2.302522,2.302713,0.099583,0.000000,0.00006250,93.75
16,2.302522,2.302713,0.099583,0.000000,0.00003125,93.52
17,2.302518,2.302712,0.099583,0.000000,0.00003125,94.10
18,2.302518,2.302713,0.099583,0.000000,0.00003125,92.85
19,2.302518,2.302712,0.099583,0.000000,0.00001563,91.88
20,2.302516,2.302712,0.099583,0.000000,0.00001563,93.18
