epoch,train_loss,val_loss,val_digit_acc,val_sequence_acc,lr,seconds
1,0.445222,0.138390,0.948233,0.739500,0.00100000,186.04
2,0.137132,0.095036,0.964683,0.814100,0.00100000,185.60
3,0.100718,0.061620,0.975600,0.863500,0.00100000,185.39
4,0.082673,0.049288,0.979633,0.885900,0.00100000,184.58
5,0.075655,0.045187,0.981350,0.894200,0.00100000,185.52
6,0.068478,0.040230,0.983333,0.904200,0.00100000,191.41
7,0.064870,0.043009,0.981667,0.896900,0.00100000,189.27
8,0.061351,0.038415,0.983733,0.906300,0.00100000,184.79
9,0.059270,0.036460,0.984650,0.912200,0.00100000,185.19
10,0.056919,0.035941,0.985133,0.915200,0.00100000,185.38
11,0.055472,0.035469,0.986167,0.921000,0.00100000,1545.54
12,0.052493,0.034887,0.985800,0.919300,0.00100000,194.72
13,0.051360,0.033625,0.985517,0.916900,0.00100000,190.49
14,0.050397,0.032421,0.985967,0.919400,0.00050000,191.28
15,0.041960,0.028237,0.988350,0.932200,0.00050000,187.38
16,0.040477,0.028648,0.987583,0.927900,0.00050000,2497.65
17,0.040676,0.029614,0.987317,0.926100,0.00050000,187.65
18,0.040420,0.028799,0.987517,0.927100,0.00025000,186.70
19,0.035132,0.025890,0.989200,0.936800,0.00025000,217.73
20,0.034393,0.025826,0.989450,0.938000,0.00025000,188.85
21,0.033299,0.026118,0.988967,0.935300,0.00025000,187.66
22,0.032584,0.025547,0.989367,0.937700,0.00025000,188.51
23,0.032187,0.026692,0.988650,0.934200,0.00012500,188.76
24,0.030302,0.025534,0.989250,0.937500,0.00012500,188.92
25,0.030127,0.025337,0.989483,0.938600,0.00012500,188.93
26,0.028546,0.026026,0.989217,0.936800,0.00012500,185.82
27,0.027629,0.026405,0.989167,0.936800,0.00012500,187.86
28,0.026675,0.026027,0.989233,0.937500,0.00006250,187.00
29,0.024975,0.025992,0.989250,0.937100,0.00006250,187.21
