epoch,train_loss,val_loss,val_digit_acc,val_sequence_acc,lr,seconds
1,0.626909,0.024600,0.992967,0.965200,0.00100000,215.37
2,0.023083,0.012010,0.996767,0.983000,0.00100000,190.87
3,0.016758,0.012692,0.996650,0.981500,0.00100000,188.29
4,0.012699,0.005579,0.998200,0.990400,0.00100000,188.91
5,0.011510,0.006013,0.998417,0.991300,0.00100000,188.94
6,0.010528,0.007868,0.997800,0.988700,0.00100000,329.63
7,0.009233,0.003330,0.999017,0.994500,0.00100000,452.20
8,0.009263,0.008531,0.997817,0.987800,0.00100000,414.38
9,0.008564,0.003314,0.999000,0.994200,0.00100000,451.13
10,0.007822,0.003328,0.998983,0.995200,0.00100000,555.94
11,0.007492,0.004017,0.998917,0.994100,0.00100000,552.27
12,0.007024,0.003201,0.999000,0.994300,0.00100000,547.04
13,0.007131,0.002888,0.999067,0.994900,0.00050000,543.39
14,0.003442,0.001533,0.999617,0.997700,0.00050000,542.70
15,0.003431,0.001447,0.999517,0.997200,0.00050000,539.22
16,0.003246,0.002462,0.999433,0.996800,0.00050000,538.53
17,0.003602,0.001516,0.999517,0.997500,0.00025000,537.89
18,0.002630,0.001069,0.999667,0.998200,0.00025000,544.28
19,0.002212,0.001441,0.999633,0.997900,0.00025000,534.17
20,0.002214,0.001026,0.999633,0.998000,0.00025000,542.22
21,0.002052,0.001263,0.999600,0.997800,0.00012500,539.81
22,0.001683,0.000972,0.999733,0.998500,0.00012500,538.47
23,0.001716,0.000959,0.999650,0.998100,0.00012500,527.95
24,0.001684,0.001096,0.999667,0.998100,0.00012500,544.34
25,0.001396,0.001037,0.999633,0.997900,0.00006250,539.86
26,0.001584,0.000767,0.999667,0.998100,0.00006250,540.09
27,0.001284,0.000842,0.999700,0.998300,0.00006250,541.36
28,0.001322,0.000774,0.999717,0.998400,0.00003125,543.06
29,0.001410,0.000776,0.999733,0.998500,0.00003125,538.82
30,0.001264,0.000695,0.999700,0.998300,0.00003125,538.90
31,0.001326,0.000734,0.999733,0.998500,0.00001563,537.27
32,0.001135,0.000673,0.999750,0.998500,0.00001563,546.75
33,0.001063,0.000684,0.999750,0.998500,0.00001563,345.30
34,0.000956,0.000668,0.999750,0.998500,0.00000781,340.70
35,0.001109,0.000677,0.999767,0.998600,0.00000781,525.26
36,0.001300,0.000690,0.999733,0.998400,0.00000781,498.53
37,0.001114,0.000683,0.999733,0.998400,0.00000781,572.49
38,0.001178,0.000656,0.999750,0.998500,0.00000391,666.29
39,0.001179,0.000657,0.999767,0.998600,0.00000391,638.92
40,0.001251,0.000716,0.999717,0.998300,0.00000391,544.25
41,0.000994,0.000706,0.999733,0.998400,0.00000195,650.49
42,0.001152,0.000676,0.999717,0.998300,0.00000195,493.91
43,0.001146,0.000714,0.999733,0.998400,0.00000195,190.42
44,0.001019,0.000688,0.999750,0.998500,0.00000098,187.98
45,0.000969,0.000685,0.999750,0.998500,0.00000098,187.47
46,0.001226,0.000710,0.999717,0.998400,0.00000098,186.97
47,0.000991,0.000688,0.999717,0.998400,0.00000049,187.21
48,0.001043,0.000681,0.999733,0.998400,0.00000049,187.44
49,0.001012,0.000702,0.999717,0.998400,0.00000049,187.49
50,0.001201,0.000710,0.999717,0.998400,0.00000024,187.14
51,0.000925,0.000708,0.999717,0.998400,0.00000024,187.32
52,0.001077,0.000691,0.999717,0.998400,0.00000024,187.14
53,0.001114,0.000699,0.999717,0.998400,0.00000012,187.51
54,0.001193,0.000674,0.999750,0.998500,0.00000012,187.36
55,0.001072,0.000683,0.999717,0.998400,0.00000012,187.58
56,0.001260,0.000708,0.999717,0.998400,0.00000006,187.45
57,0.000878,0.000656,0.999717,0.998300,0.00000006,187.57
58,0.001351,0.000715,0.999717,0.998400,0.00000006,188.24
59,0.001046,0.000684,0.999733,0.998400,0.00000003,187.78
60,0.001119,0.000670,0.999733,0.998400,0.00000003,187.60
