time,epoch,train_loss,val_loss,val_digit_acc,val_sequence_acc,best_sequence_acc,lr,epoch_seconds,elapsed,eta
2026-06-14 23:17:20,1,0.616138,0.027965,0.991533,0.959300,0.959300,0.00100000,188.73,03m 08s,3h 05m 34s
2026-06-14 23:20:27,2,0.024669,0.028193,0.991967,0.960500,0.960500,0.00100000,187.73,06m 16s,3h 01m 58s
2026-06-14 23:23:34,3,0.017125,0.010595,0.996733,0.982600,0.982600,0.00100000,186.95,09m 23s,2h 58m 25s
2026-06-14 23:26:42,4,0.013239,0.003992,0.998817,0.993800,0.993800,0.00100000,187.28,12m 30s,2h 55m 10s
2026-06-14 23:29:49,5,0.011529,0.003803,0.998900,0.994200,0.994200,0.00100000,187.10,15m 37s,2h 51m 56s
2026-06-14 23:32:56,6,0.010586,0.009435,0.997417,0.986200,0.994200,0.00100000,187.33,18m 45s,2h 48m 47s
2026-06-14 23:36:03,7,0.010099,0.006201,0.998417,0.991300,0.994200,0.00100000,186.83,21m 52s,2h 45m 34s
2026-06-14 23:39:10,8,0.008902,0.004095,0.998883,0.994200,0.994200,0.00050000,187.41,24m 59s,2h 42m 26s
2026-06-14 23:42:17,9,0.005294,0.003223,0.999133,0.995300,0.995300,0.00050000,186.83,28m 06s,2h 39m 16s
2026-06-14 23:45:25,10,0.004320,0.002312,0.999383,0.996600,0.996600,0.00050000,187.39,31m 13s,2h 36m 08s
2026-06-14 23:48:31,11,0.004799,0.003028,0.999233,0.995600,0.996600,0.00050000,186.78,34m 20s,2h 32m 59s
2026-06-14 23:51:39,12,0.005136,0.002779,0.999233,0.995600,0.996600,0.00050000,187.47,37m 28s,2h 29m 52s
2026-06-14 23:54:46,13,0.004458,0.002602,0.999317,0.996500,0.996600,0.00025000,186.91,40m 35s,2h 26m 43s
2026-06-14 23:57:53,14,0.003012,0.001468,0.999617,0.997900,0.997900,0.00025000,187.25,43m 42s,2h 23m 36s
2026-06-15 00:01:00,15,0.002596,0.001337,0.999600,0.997800,0.997900,0.00025000,187.06,46m 49s,2h 20m 28s
2026-06-15 00:04:08,16,0.002888,0.001191,0.999617,0.997700,0.997900,0.00025000,187.26,49m 56s,2h 17m 20s
2026-06-15 00:07:15,17,0.002795,0.001477,0.999533,0.997300,0.997900,0.00012500,187.62,53m 04s,2h 14m 14s
2026-06-15 00:10:23,18,0.002207,0.001135,0.999617,0.997900,0.997900,0.00012500,187.98,56m 12s,2h 11m 08s
2026-06-15 00:13:31,19,0.001888,0.000794,0.999733,0.998500,0.998500,0.00012500,187.81,59m 20s,2h 08m 02s
2026-06-15 00:16:39,20,0.001649,0.001228,0.999567,0.997500,0.998500,0.00012500,187.71,1h 02m 27s,2h 04m 55s
2026-06-15 00:19:48,21,0.001845,0.000937,0.999700,0.998300,0.998500,0.00012500,189.39,1h 05m 37s,2h 01m 52s
2026-06-15 00:22:56,22,0.001660,0.001042,0.999683,0.998200,0.998500,0.00006250,188.26,1h 08m 45s,1h 58m 45s
2026-06-15 00:26:05,23,0.001540,0.001088,0.999633,0.997900,0.998500,0.00006250,188.15,1h 11m 53s,1h 55m 39s
2026-06-15 00:29:35,24,0.001429,0.001034,0.999667,0.998100,0.998500,0.00006250,210.42,1h 15m 24s,1h 53m 06s
