time,epoch,train_loss,val_loss,val_digit_acc,val_sequence_acc,best_sequence_acc,lr,epoch_seconds,elapsed,eta
2026-06-11 02:45:03,1,2.321599,2.356722,0.098517,0.000000,0.000000,0.00069973,242.33,04m 02s,5h 19m 03s
2026-06-11 02:48:47,2,2.045258,2.341434,0.098517,0.000000,0.000000,0.00069892,223.08,07m 45s,5h 02m 48s
2026-06-11 02:52:06,3,0.107268,2.417446,0.098517,0.000000,0.000000,0.00069758,198.83,11m 04s,4h 44m 21s
2026-06-11 02:55:21,4,0.037263,2.170242,0.170917,0.000500,0.000500,0.00069570,195.23,14m 20s,4h 32m 21s
2026-06-11 02:58:36,5,0.027854,1.010402,0.755683,0.574400,0.574400,0.00069328,194.54,17m 34s,4h 23m 40s
2026-06-11 03:02:04,6,0.021567,0.258480,0.951300,0.870500,0.870500,0.00069034,208.47,21m 03s,4h 19m 40s
2026-06-11 03:05:41,7,0.022879,0.063839,0.986933,0.954900,0.954900,0.00068688,216.27,24m 39s,4h 17m 11s
2026-06-11 03:09:15,8,0.018309,0.021032,0.995000,0.979600,0.979600,0.00068289,213.96,28m 13s,4h 14m 04s
2026-06-11 03:12:49,9,0.016354,0.009318,0.997433,0.987900,0.987900,0.00067840,214.10,31m 48s,4h 10m 52s
2026-06-11 03:16:12,10,0.014988,0.005539,0.998417,0.992100,0.992100,0.00067340,203.23,35m 11s,4h 06m 19s
2026-06-11 03:19:27,11,0.012343,0.004143,0.998800,0.993500,0.993500,0.00066790,194.83,38m 26s,4h 01m 06s
2026-06-11 03:22:41,12,0.012513,0.003110,0.999050,0.994500,0.994500,0.00066191,193.95,41m 40s,3h 56m 08s
2026-06-11 03:25:55,13,0.010925,0.002642,0.999167,0.995200,0.995200,0.00065544,194.06,44m 54s,3h 51m 27s
2026-06-11 03:29:10,14,0.010772,0.002201,0.999333,0.996200,0.996200,0.00064850,194.13,48m 08s,3h 46m 58s
2026-06-11 03:32:24,15,0.010561,0.001942,0.999400,0.996800,0.996800,0.00064110,193.97,51m 22s,3h 42m 39s
2026-06-11 03:35:38,16,0.011415,0.001817,0.999450,0.996900,0.996900,0.00063325,194.03,54m 37s,3h 38m 28s
2026-06-11 03:38:53,17,0.008247,0.001663,0.999517,0.997200,0.997200,0.00062497,194.50,57m 51s,3h 34m 25s
2026-06-11 03:42:06,18,0.010343,0.001688,0.999517,0.997200,0.997200,0.00061626,193.49,1h 01m 05s,3h 30m 24s
2026-06-11 03:45:19,19,0.007166,0.001624,0.999483,0.997000,0.997200,0.00060715,192.89,1h 04m 18s,3h 26m 26s
2026-06-11 03:48:31,20,0.008670,0.001673,0.999533,0.997300,0.997300,0.00059763,192.29,1h 07m 30s,3h 22m 31s
2026-06-11 03:51:42,21,0.005798,0.001606,0.999583,0.997600,0.997600,0.00058774,190.85,1h 10m 41s,3h 18m 36s
2026-06-11 03:54:54,22,0.006285,0.001523,0.999550,0.997400,0.997600,0.00057748,191.83,1h 13m 53s,3h 14m 48s
2026-06-11 03:58:06,23,0.006928,0.001498,0.999550,0.997400,0.997600,0.00056687,191.13,1h 17m 04s,3h 11m 01s
2026-06-11 04:01:17,24,0.007233,0.001364,0.999600,0.997700,0.997700,0.00055593,191.55,1h 20m 16s,3h 07m 17s
2026-06-11 04:04:28,25,0.005480,0.001274,0.999600,0.997700,0.997700,0.00054467,190.40,1h 23m 26s,3h 03m 34s
2026-06-11 04:07:39,26,0.005782,0.001178,0.999717,0.998400,0.998400,0.00053311,191.37,1h 26m 38s,2h 59m 56s
2026-06-11 04:10:50,27,0.007085,0.001237,0.999683,0.998200,0.998400,0.00052127,191.04,1h 29m 49s,2h 56m 19s
2026-06-11 04:14:01,28,0.005889,0.001268,0.999617,0.997800,0.998400,0.00050917,191.17,1h 33m 00s,2h 52m 43s
2026-06-11 04:17:12,29,0.005444,0.001233,0.999617,0.997800,0.998400,0.00049682,190.96,1h 36m 11s,2h 49m 10s
2026-06-11 04:20:24,30,0.005044,0.001150,0.999667,0.998100,0.998400,0.00048425,191.06,1h 39m 22s,2h 45m 37s
2026-06-11 04:23:35,31,0.004505,0.001146,0.999733,0.998500,0.998500,0.00047147,191.04,1h 42m 33s,2h 42m 06s
2026-06-11 04:26:46,32,0.004567,0.001201,0.999750,0.998600,0.998600,0.00045850,191.05,1h 45m 44s,2h 38m 37s
2026-06-11 04:29:57,33,0.004197,0.001229,0.999667,0.998100,0.998600,0.00044537,191.23,1h 48m 56s,2h 35m 09s
2026-06-11 04:33:08,34,0.003571,0.001238,0.999717,0.998400,0.998600,0.00043209,191.02,1h 52m 07s,2h 31m 41s
2026-06-11 04:36:20,35,0.004330,0.001291,0.999750,0.998600,0.998600,0.00041868,191.21,1h 55m 18s,2h 28m 15s
2026-06-11 04:39:30,36,0.003751,0.001294,0.999733,0.998400,0.998600,0.00040517,190.68,1h 58m 29s,2h 24m 49s
2026-06-11 04:42:42,37,0.003631,0.001316,0.999700,0.998200,0.998600,0.00039158,191.37,2h 01m 40s,2h 21m 24s
2026-06-11 04:45:54,38,0.004182,0.001299,0.999733,0.998400,0.998600,0.00037792,192.44,2h 04m 53s,2h 18m 02s
2026-06-11 04:49:07,39,0.003519,0.001289,0.999750,0.998500,0.998600,0.00036422,192.70,2h 08m 06s,2h 14m 40s
2026-06-11 04:52:19,40,0.002744,0.001290,0.999717,0.998300,0.998600,0.00035050,191.49,2h 11m 17s,2h 11m 17s
2026-06-11 04:55:30,41,0.003389,0.001255,0.999700,0.998200,0.998600,0.00033678,191.40,2h 14m 29s,2h 07m 55s
2026-06-11 04:58:41,42,0.003176,0.001291,0.999700,0.998300,0.998600,0.00032308,191.28,2h 17m 40s,2h 04m 33s
2026-06-11 05:01:53,43,0.002875,0.001324,0.999700,0.998300,0.998600,0.00030942,191.26,2h 20m 51s,2h 01m 12s
2026-06-11 05:05:04,44,0.002840,0.001305,0.999650,0.998000,0.998600,0.00029583,191.31,2h 24m 03s,1h 57m 51s
2026-06-11 05:08:15,45,0.002556,0.001308,0.999650,0.998000,0.998600,0.00028232,190.98,2h 27m 14s,1h 54m 31s
2026-06-11 05:11:26,46,0.002368,0.001258,0.999683,0.998200,0.998600,0.00026891,191.26,2h 30m 25s,1h 51m 10s
2026-06-11 05:14:37,47,0.002526,0.001281,0.999700,0.998300,0.998600,0.00025563,190.83,2h 33m 36s,1h 47m 51s
2026-06-11 05:17:48,48,0.002197,0.001407,0.999683,0.998200,0.998600,0.00024250,191.13,2h 36m 47s,1h 44m 31s
2026-06-11 05:21:00,49,0.002502,0.001436,0.999667,0.998100,0.998600,0.00022953,191.06,2h 39m 58s,1h 41m 12s
2026-06-11 05:24:11,50,0.002226,0.001585,0.999617,0.997700,0.998600,0.00021675,191.19,2h 43m 09s,1h 37m 53s
2026-06-11 05:27:22,51,0.002087,0.001648,0.999667,0.998000,0.998600,0.00020418,190.98,2h 46m 20s,1h 34m 35s
2026-06-11 05:30:33,52,0.001959,0.001668,0.999667,0.998100,0.998600,0.00019183,191.49,2h 49m 32s,1h 31m 17s
2026-06-11 05:33:44,53,0.001704,0.001660,0.999667,0.998100,0.998600,0.00017973,191.06,2h 52m 43s,1h 27m 59s
2026-06-11 05:36:56,54,0.001965,0.001645,0.999717,0.998300,0.998600,0.00016789,191.40,2h 55m 55s,1h 24m 42s
2026-06-11 05:40:07,55,0.001916,0.001646,0.999733,0.998400,0.998600,0.00015633,191.02,2h 59m 06s,1h 21m 24s
2026-06-11 05:43:19,56,0.001750,0.001611,0.999683,0.998200,0.998600,0.00014507,191.40,3h 02m 17s,1h 18m 07s
2026-06-11 05:46:30,57,0.001785,0.001574,0.999700,0.998300,0.998600,0.00013413,191.81,3h 05m 29s,1h 14m 50s
2026-06-11 05:49:43,58,0.002109,0.001515,0.999700,0.998300,0.998600,0.00012352,192.54,3h 08m 42s,1h 11m 34s
2026-06-11 05:52:55,59,0.001603,0.001456,0.999733,0.998400,0.998600,0.00011326,191.78,3h 11m 53s,1h 08m 18s
2026-06-11 05:56:06,60,0.001413,0.001419,0.999700,0.998300,0.998600,0.00010337,191.41,3h 15m 05s,1h 05m 01s
2026-06-11 05:59:18,61,0.001442,0.001422,0.999717,0.998400,0.998600,0.00009385,191.46,3h 18m 16s,1h 01m 45s
2026-06-11 06:02:29,62,0.001448,0.001454,0.999683,0.998200,0.998600,0.00008474,190.91,3h 21m 27s,58m 29s
2026-06-11 06:05:40,63,0.001337,0.001447,0.999733,0.998500,0.998600,0.00007603,191.32,3h 24m 39s,55m 13s
2026-06-11 06:08:51,64,0.001295,0.001434,0.999700,0.998300,0.998600,0.00006775,191.19,3h 27m 50s,51m 57s
2026-06-11 06:12:03,65,0.001355,0.001430,0.999700,0.998200,0.998600,0.00005990,191.15,3h 31m 01s,48m 41s
2026-06-11 06:15:14,66,0.001218,0.001441,0.999717,0.998300,0.998600,0.00005250,191.27,3h 34m 13s,45m 26s
